Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
dike,1,29-May-13,1,1,1293,1
airport,2,30-May-13,3,1,51,1
airport,3,31-May-13,2,1,56,1
dike,4,1-Jun-13,1,1,834,3
lighthouse,5,2-Jun-13,3,1,38,0
airport,6,3-Jun-13,2,1,39,0
dike,7,4-Jun-13,1,1,634,5
lighthouse,8,5-Jun-13,3,1,27,0
lighthouse,9,6-Jun-13,2,1,51,0
dike,10,7-Jun-13,1,1,426,4
lighthouse,11,8-Jun-13,3,1,32,0
airport,12,9-Jun-13,2,1,62,0
dike,13,10-Jun-13,1,1,673,3
lighthouse,14,11-Jun-13,3,1,37,0
airport,15,12-Jun-13,2,1,73,0
dike,16,13-Jun-13,1,1,632,2
lighthouse,17,14-Jun-13,3,1,64,0
airport,18,15-Jun-13,2,1,94,0
