"Location","Time","Date","Location_code","Patch_ID","Density"
"N/A",1,"N/A","N/A","N/A",2356.45697690758
"N/A",2,"N/A","N/A","N/A",2615.61665651787
"N/A",3,"N/A","N/A","N/A",2561.26282261464
"N/A",4,"N/A","N/A","N/A",2312.30502599653
"N/A",5,"N/A","N/A","N/A",3084.96885100005
"N/A",6,"N/A","N/A","N/A",3084.6503349103
"N/A",7,"N/A","N/A","N/A",2987.04388964354
"N/A",8,"N/A","N/A","N/A",2575.93329898356
"N/A",9,"N/A","N/A","N/A",2424.27279966275
"N/A",10,"N/A","N/A","N/A",2802.35139819195
"N/A",11,"N/A","N/A","N/A",2585.8072977657
"N/A",14,"N/A","N/A","N/A",2044.35804955736
"N/A",15,"N/A","N/A","N/A",1919.72457726357
"N/A",16,"N/A","N/A","N/A",1795.07236872921
"N/A",17,"N/A","N/A","N/A",1124.50231860977
"N/A",18,"N/A","N/A","N/A",832.30127874842
"N/A",19,"N/A","N/A","N/A",653.613752400581
"N/A",20,"N/A","N/A","N/A",626.286945524381
"N/A",21,"N/A","N/A","N/A",717.841585085953
"N/A",22,"N/A","N/A","N/A",566.190453885428
"N/A",23,"N/A","N/A","N/A",609.143285399785
"N/A",24,"N/A","N/A","N/A",565.600262307368
"N/A",25,"N/A","N/A","N/A",662.560307274345
"N/A",29,"N/A","N/A","N/A",661.333083516793
"N/A",30,"N/A","N/A","N/A",623.176729589208
"N/A",31,"N/A","N/A","N/A",563.40812216029
"N/A",32,"N/A","N/A","N/A",590.135369338143
"N/A",35,"N/A","N/A","N/A",621.630989741909
"N/A",36,"N/A","N/A","N/A",621.321841772449
"N/A",37,"N/A","N/A","N/A",415.607288397584
"N/A",38,"N/A","N/A","N/A",388.289849641671
"N/A",39,"N/A","N/A","N/A",225.809171389761
"N/A",40,"N/A","N/A","N/A",236.292097990538
"N/A",41,"N/A","N/A","N/A",192.749074898123
